,dias,Curitiba - PR,Fortaleza - CE,Sarandi - RS,Brasília - DF,Bochum - GE
146,2023-05-27,2023-05-27 17:35:00-03:00,2023-05-27 17:28:00-03:00,2023-05-27 17:44:00-03:00,2023-05-27 17:46:00-03:00,2023-05-27 20:31:00-03:00
147,2023-05-28,2023-05-28 17:35:00-03:00,2023-05-28 17:29:00-03:00,2023-05-28 17:44:00-03:00,2023-05-28 17:46:00-03:00,2023-05-28 20:32:00-03:00
148,2023-05-29,2023-05-29 17:35:00-03:00,2023-05-29 17:29:00-03:00,2023-05-29 17:44:00-03:00,2023-05-29 17:46:00-03:00,2023-05-29 20:33:00-03:00
149,2023-05-30,2023-05-30 17:35:00-03:00,2023-05-30 17:29:00-03:00,2023-05-30 17:43:00-03:00,2023-05-30 17:46:00-03:00,2023-05-30 20:35:00-03:00
150,2023-05-31,2023-05-31 17:34:00-03:00,2023-05-31 17:29:00-03:00,2023-05-31 17:43:00-03:00,2023-05-31 17:46:00-03:00,2023-05-31 20:36:00-03:00
151,2023-06-01,2023-06-01 17:34:00-03:00,2023-06-01 17:29:00-03:00,2023-06-01 17:43:00-03:00,2023-06-01 17:46:00-03:00,2023-06-01 20:37:00-03:00
152,2023-06-02,2023-06-02 17:34:00-03:00,2023-06-02 17:29:00-03:00,2023-06-02 17:43:00-03:00,2023-06-02 17:46:00-03:00,2023-06-02 20:38:00-03:00
153,2023-06-03,2023-06-03 17:34:00-03:00,2023-06-03 17:29:00-03:00,2023-06-03 17:43:00-03:00,2023-06-03 17:46:00-03:00,2023-06-03 20:39:00-03:00
154,2023-06-04,2023-06-04 17:34:00-03:00,2023-06-04 17:29:00-03:00,2023-06-04 17:43:00-03:00,2023-06-04 17:46:00-03:00,2023-06-04 20:40:00-03:00
155,2023-06-05,2023-06-05 17:34:00-03:00,2023-06-05 17:30:00-03:00,2023-06-05 17:43:00-03:00,2023-06-05 17:46:00-03:00,2023-06-05 20:41:00-03:00
156,2023-06-06,2023-06-06 17:34:00-03:00,2023-06-06 17:30:00-03:00,2023-06-06 17:42:00-03:00,2023-06-06 17:46:00-03:00,2023-06-06 20:42:00-03:00
157,2023-06-07,2023-06-07 17:34:00-03:00,2023-06-07 17:30:00-03:00,2023-06-07 17:42:00-03:00,2023-06-07 17:46:00-03:00,2023-06-07 20:43:00-03:00
158,2023-06-08,2023-06-08 17:34:00-03:00,2023-06-08 17:30:00-03:00,2023-06-08 17:42:00-03:00,2023-06-08 17:46:00-03:00,2023-06-08 20:43:00-03:00
159,2023-06-09,2023-06-09 17:34:00-03:00,2023-06-09 17:30:00-03:00,2023-06-09 17:42:00-03:00,2023-06-09 17:46:00-03:00,2023-06-09 20:44:00-03:00
160,2023-06-10,2023-06-10 17:34:00-03:00,2023-06-10 17:30:00-03:00,2023-06-10 17:42:00-03:00,2023-06-10 17:46:00-03:00,2023-06-10 20:45:00-03:00
161,2023-06-11,2023-06-11 17:34:00-03:00,2023-06-11 17:31:00-03:00,2023-06-11 17:42:00-03:00,2023-06-11 17:46:00-03:00,2023-06-11 20:46:00-03:00
162,2023-06-12,2023-06-12 17:34:00-03:00,2023-06-12 17:31:00-03:00,2023-06-12 17:42:00-03:00,2023-06-12 17:46:00-03:00,2023-06-12 20:46:00-03:00
163,2023-06-13,2023-06-13 17:34:00-03:00,2023-06-13 17:31:00-03:00,2023-06-13 17:42:00-03:00,2023-06-13 17:46:00-03:00,2023-06-13 20:47:00-03:00
164,2023-06-14,2023-06-14 17:34:00-03:00,2023-06-14 17:31:00-03:00,2023-06-14 17:43:00-03:00,2023-06-14 17:47:00-03:00,2023-06-14 20:48:00-03:00
165,2023-06-15,2023-06-15 17:34:00-03:00,2023-06-15 17:31:00-03:00,2023-06-15 17:43:00-03:00,2023-06-15 17:47:00-03:00,2023-06-15 20:48:00-03:00
166,2023-06-16,2023-06-16 17:34:00-03:00,2023-06-16 17:32:00-03:00,2023-06-16 17:43:00-03:00,2023-06-16 17:47:00-03:00,2023-06-16 20:49:00-03:00
167,2023-06-17,2023-06-17 17:34:00-03:00,2023-06-17 17:32:00-03:00,2023-06-17 17:43:00-03:00,2023-06-17 17:47:00-03:00,2023-06-17 20:49:00-03:00
168,2023-06-18,2023-06-18 17:35:00-03:00,2023-06-18 17:32:00-03:00,2023-06-18 17:43:00-03:00,2023-06-18 17:47:00-03:00,2023-06-18 20:49:00-03:00
169,2023-06-19,2023-06-19 17:35:00-03:00,2023-06-19 17:32:00-03:00,2023-06-19 17:43:00-03:00,2023-06-19 17:47:00-03:00,2023-06-19 20:50:00-03:00
170,2023-06-20,2023-06-20 17:35:00-03:00,2023-06-20 17:32:00-03:00,2023-06-20 17:43:00-03:00,2023-06-20 17:48:00-03:00,2023-06-20 20:50:00-03:00
171,2023-06-21,2023-06-21 17:35:00-03:00,2023-06-21 17:33:00-03:00,2023-06-21 17:44:00-03:00,2023-06-21 17:48:00-03:00,2023-06-21 20:50:00-03:00
172,2023-06-22,2023-06-22 17:35:00-03:00,2023-06-22 17:33:00-03:00,2023-06-22 17:44:00-03:00,2023-06-22 17:48:00-03:00,2023-06-22 20:50:00-03:00
173,2023-06-23,2023-06-23 17:36:00-03:00,2023-06-23 17:33:00-03:00,2023-06-23 17:44:00-03:00,2023-06-23 17:48:00-03:00,2023-06-23 20:51:00-03:00
174,2023-06-24,2023-06-24 17:36:00-03:00,2023-06-24 17:33:00-03:00,2023-06-24 17:44:00-03:00,2023-06-24 17:49:00-03:00,2023-06-24 20:51:00-03:00
175,2023-06-25,2023-06-25 17:36:00-03:00,2023-06-25 17:33:00-03:00,2023-06-25 17:45:00-03:00,2023-06-25 17:49:00-03:00,2023-06-25 20:51:00-03:00
176,2023-06-26,2023-06-26 17:36:00-03:00,2023-06-26 17:34:00-03:00,2023-06-26 17:45:00-03:00,2023-06-26 17:49:00-03:00,2023-06-26 20:51:00-03:00
177,2023-06-27,2023-06-27 17:37:00-03:00,2023-06-27 17:34:00-03:00,2023-06-27 17:45:00-03:00,2023-06-27 17:49:00-03:00,2023-06-27 20:51:00-03:00
178,2023-06-28,2023-06-28 17:37:00-03:00,2023-06-28 17:34:00-03:00,2023-06-28 17:46:00-03:00,2023-06-28 17:50:00-03:00,2023-06-28 20:51:00-03:00
179,2023-06-29,2023-06-29 17:37:00-03:00,2023-06-29 17:34:00-03:00,2023-06-29 17:46:00-03:00,2023-06-29 17:50:00-03:00,2023-06-29 20:50:00-03:00
180,2023-06-30,2023-06-30 17:38:00-03:00,2023-06-30 17:35:00-03:00,2023-06-30 17:46:00-03:00,2023-06-30 17:50:00-03:00,2023-06-30 20:50:00-03:00
181,2023-07-01,2023-07-01 17:38:00-03:00,2023-07-01 17:35:00-03:00,2023-07-01 17:47:00-03:00,2023-07-01 17:50:00-03:00,2023-07-01 20:50:00-03:00
182,2023-07-02,2023-07-02 17:38:00-03:00,2023-07-02 17:35:00-03:00,2023-07-02 17:47:00-03:00,2023-07-02 17:51:00-03:00,2023-07-02 20:50:00-03:00
183,2023-07-03,2023-07-03 17:39:00-03:00,2023-07-03 17:35:00-03:00,2023-07-03 17:47:00-03:00,2023-07-03 17:51:00-03:00,2023-07-03 20:49:00-03:00
184,2023-07-04,2023-07-04 17:39:00-03:00,2023-07-04 17:35:00-03:00,2023-07-04 17:48:00-03:00,2023-07-04 17:51:00-03:00,2023-07-04 20:49:00-03:00
185,2023-07-05,2023-07-05 17:39:00-03:00,2023-07-05 17:36:00-03:00,2023-07-05 17:48:00-03:00,2023-07-05 17:52:00-03:00,2023-07-05 20:48:00-03:00
186,2023-07-06,2023-07-06 17:40:00-03:00,2023-07-06 17:36:00-03:00,2023-07-06 17:49:00-03:00,2023-07-06 17:52:00-03:00,2023-07-06 20:48:00-03:00
187,2023-07-07,2023-07-07 17:40:00-03:00,2023-07-07 17:36:00-03:00,2023-07-07 17:49:00-03:00,2023-07-07 17:52:00-03:00,2023-07-07 20:47:00-03:00
188,2023-07-08,2023-07-08 17:41:00-03:00,2023-07-08 17:36:00-03:00,2023-07-08 17:49:00-03:00,2023-07-08 17:52:00-03:00,2023-07-08 20:47:00-03:00
189,2023-07-09,2023-07-09 17:41:00-03:00,2023-07-09 17:36:00-03:00,2023-07-09 17:50:00-03:00,2023-07-09 17:53:00-03:00,2023-07-09 20:46:00-03:00
190,2023-07-10,2023-07-10 17:41:00-03:00,2023-07-10 17:36:00-03:00,2023-07-10 17:50:00-03:00,2023-07-10 17:53:00-03:00,2023-07-10 20:45:00-03:00
191,2023-07-11,2023-07-11 17:42:00-03:00,2023-07-11 17:37:00-03:00,2023-07-11 17:51:00-03:00,2023-07-11 17:53:00-03:00,2023-07-11 20:44:00-03:00
192,2023-07-12,2023-07-12 17:42:00-03:00,2023-07-12 17:37:00-03:00,2023-07-12 17:51:00-03:00,2023-07-12 17:54:00-03:00,2023-07-12 20:44:00-03:00
193,2023-07-13,2023-07-13 17:43:00-03:00,2023-07-13 17:37:00-03:00,2023-07-13 17:52:00-03:00,2023-07-13 17:54:00-03:00,2023-07-13 20:43:00-03:00
194,2023-07-14,2023-07-14 17:43:00-03:00,2023-07-14 17:37:00-03:00,2023-07-14 17:52:00-03:00,2023-07-14 17:54:00-03:00,2023-07-14 20:42:00-03:00
195,2023-07-15,2023-07-15 17:44:00-03:00,2023-07-15 17:37:00-03:00,2023-07-15 17:53:00-03:00,2023-07-15 17:55:00-03:00,2023-07-15 20:41:00-03:00
196,2023-07-16,2023-07-16 17:44:00-03:00,2023-07-16 17:37:00-03:00,2023-07-16 17:53:00-03:00,2023-07-16 17:55:00-03:00,2023-07-16 20:40:00-03:00
197,2023-07-17,2023-07-17 17:45:00-03:00,2023-07-17 17:38:00-03:00,2023-07-17 17:54:00-03:00,2023-07-17 17:55:00-03:00,2023-07-17 20:39:00-03:00
198,2023-07-18,2023-07-18 17:45:00-03:00,2023-07-18 17:38:00-03:00,2023-07-18 17:54:00-03:00,2023-07-18 17:55:00-03:00,2023-07-18 20:38:00-03:00
199,2023-07-19,2023-07-19 17:45:00-03:00,2023-07-19 17:38:00-03:00,2023-07-19 17:55:00-03:00,2023-07-19 17:56:00-03:00,2023-07-19 20:37:00-03:00
200,2023-07-20,2023-07-20 17:46:00-03:00,2023-07-20 17:38:00-03:00,2023-07-20 17:55:00-03:00,2023-07-20 17:56:00-03:00,2023-07-20 20:35:00-03:00
201,2023-07-21,2023-07-21 17:46:00-03:00,2023-07-21 17:38:00-03:00,2023-07-21 17:56:00-03:00,2023-07-21 17:56:00-03:00,2023-07-21 20:34:00-03:00
202,2023-07-22,2023-07-22 17:47:00-03:00,2023-07-22 17:38:00-03:00,2023-07-22 17:56:00-03:00,2023-07-22 17:57:00-03:00,2023-07-22 20:33:00-03:00
203,2023-07-23,2023-07-23 17:47:00-03:00,2023-07-23 17:38:00-03:00,2023-07-23 17:57:00-03:00,2023-07-23 17:57:00-03:00,2023-07-23 20:32:00-03:00
204,2023-07-24,2023-07-24 17:48:00-03:00,2023-07-24 17:38:00-03:00,2023-07-24 17:57:00-03:00,2023-07-24 17:57:00-03:00,2023-07-24 20:30:00-03:00
205,2023-07-25,2023-07-25 17:48:00-03:00,2023-07-25 17:38:00-03:00,2023-07-25 17:58:00-03:00,2023-07-25 17:57:00-03:00,2023-07-25 20:29:00-03:00
206,2023-07-26,2023-07-26 17:49:00-03:00,2023-07-26 17:38:00-03:00,2023-07-26 17:58:00-03:00,2023-07-26 17:58:00-03:00,2023-07-26 20:28:00-03:00
207,2023-07-27,2023-07-27 17:49:00-03:00,2023-07-27 17:38:00-03:00,2023-07-27 17:59:00-03:00,2023-07-27 17:58:00-03:00,2023-07-27 20:26:00-03:00
208,2023-07-28,2023-07-28 17:50:00-03:00,2023-07-28 17:38:00-03:00,2023-07-28 17:59:00-03:00,2023-07-28 17:58:00-03:00,2023-07-28 20:25:00-03:00
209,2023-07-29,2023-07-29 17:50:00-03:00,2023-07-29 17:38:00-03:00,2023-07-29 18:00:00-03:00,2023-07-29 17:59:00-03:00,2023-07-29 20:23:00-03:00
210,2023-07-30,2023-07-30 17:51:00-03:00,2023-07-30 17:38:00-03:00,2023-07-30 18:00:00-03:00,2023-07-30 17:59:00-03:00,2023-07-30 20:22:00-03:00
211,2023-07-31,2023-07-31 17:51:00-03:00,2023-07-31 17:38:00-03:00,2023-07-31 18:01:00-03:00,2023-07-31 17:59:00-03:00,2023-07-31 20:20:00-03:00
212,2023-08-01,2023-08-01 17:52:00-03:00,2023-08-01 17:38:00-03:00,2023-08-01 18:01:00-03:00,2023-08-01 17:59:00-03:00,2023-08-01 20:19:00-03:00
213,2023-08-02,2023-08-02 17:52:00-03:00,2023-08-02 17:38:00-03:00,2023-08-02 18:02:00-03:00,2023-08-02 18:00:00-03:00,2023-08-02 20:17:00-03:00
214,2023-08-03,2023-08-03 17:52:00-03:00,2023-08-03 17:38:00-03:00,2023-08-03 18:02:00-03:00,2023-08-03 18:00:00-03:00,2023-08-03 20:15:00-03:00
215,2023-08-04,2023-08-04 17:53:00-03:00,2023-08-04 17:38:00-03:00,2023-08-04 18:03:00-03:00,2023-08-04 18:00:00-03:00,2023-08-04 20:14:00-03:00
216,2023-08-05,2023-08-05 17:53:00-03:00,2023-08-05 17:38:00-03:00,2023-08-05 18:03:00-03:00,2023-08-05 18:00:00-03:00,2023-08-05 20:12:00-03:00
217,2023-08-06,2023-08-06 17:54:00-03:00,2023-08-06 17:38:00-03:00,2023-08-06 18:04:00-03:00,2023-08-06 18:00:00-03:00,2023-08-06 20:10:00-03:00
218,2023-08-07,2023-08-07 17:54:00-03:00,2023-08-07 17:38:00-03:00,2023-08-07 18:05:00-03:00,2023-08-07 18:01:00-03:00,2023-08-07 20:08:00-03:00
219,2023-08-08,2023-08-08 17:55:00-03:00,2023-08-08 17:38:00-03:00,2023-08-08 18:05:00-03:00,2023-08-08 18:01:00-03:00,2023-08-08 20:07:00-03:00
220,2023-08-09,2023-08-09 17:55:00-03:00,2023-08-09 17:38:00-03:00,2023-08-09 18:06:00-03:00,2023-08-09 18:01:00-03:00,2023-08-09 20:05:00-03:00
221,2023-08-10,2023-08-10 17:56:00-03:00,2023-08-10 17:38:00-03:00,2023-08-10 18:06:00-03:00,2023-08-10 18:01:00-03:00,2023-08-10 20:03:00-03:00
222,2023-08-11,2023-08-11 17:56:00-03:00,2023-08-11 17:38:00-03:00,2023-08-11 18:07:00-03:00,2023-08-11 18:01:00-03:00,2023-08-11 20:01:00-03:00
223,2023-08-12,2023-08-12 17:57:00-03:00,2023-08-12 17:38:00-03:00,2023-08-12 18:07:00-03:00,2023-08-12 18:02:00-03:00,2023-08-12 19:59:00-03:00
224,2023-08-13,2023-08-13 17:57:00-03:00,2023-08-13 17:38:00-03:00,2023-08-13 18:08:00-03:00,2023-08-13 18:02:00-03:00,2023-08-13 19:57:00-03:00
225,2023-08-14,2023-08-14 17:57:00-03:00,2023-08-14 17:38:00-03:00,2023-08-14 18:08:00-03:00,2023-08-14 18:02:00-03:00,2023-08-14 19:55:00-03:00
226,2023-08-15,2023-08-15 17:58:00-03:00,2023-08-15 17:38:00-03:00,2023-08-15 18:09:00-03:00,2023-08-15 18:02:00-03:00,2023-08-15 19:53:00-03:00
227,2023-08-16,2023-08-16 17:58:00-03:00,2023-08-16 17:37:00-03:00,2023-08-16 18:09:00-03:00,2023-08-16 18:02:00-03:00,2023-08-16 19:51:00-03:00
228,2023-08-17,2023-08-17 17:59:00-03:00,2023-08-17 17:37:00-03:00,2023-08-17 18:10:00-03:00,2023-08-17 18:02:00-03:00,2023-08-17 19:49:00-03:00
229,2023-08-18,2023-08-18 17:59:00-03:00,2023-08-18 17:37:00-03:00,2023-08-18 18:10:00-03:00,2023-08-18 18:03:00-03:00,2023-08-18 19:47:00-03:00
230,2023-08-19,2023-08-19 17:59:00-03:00,2023-08-19 17:37:00-03:00,2023-08-19 18:11:00-03:00,2023-08-19 18:03:00-03:00,2023-08-19 19:45:00-03:00
231,2023-08-20,2023-08-20 18:00:00-03:00,2023-08-20 17:37:00-03:00,2023-08-20 18:11:00-03:00,2023-08-20 18:03:00-03:00,2023-08-20 19:43:00-03:00
232,2023-08-21,2023-08-21 18:00:00-03:00,2023-08-21 17:37:00-03:00,2023-08-21 18:11:00-03:00,2023-08-21 18:03:00-03:00,2023-08-21 19:41:00-03:00
233,2023-08-22,2023-08-22 18:01:00-03:00,2023-08-22 17:37:00-03:00,2023-08-22 18:12:00-03:00,2023-08-22 18:03:00-03:00,2023-08-22 19:39:00-03:00
234,2023-08-23,2023-08-23 18:01:00-03:00,2023-08-23 17:36:00-03:00,2023-08-23 18:12:00-03:00,2023-08-23 18:03:00-03:00,2023-08-23 19:37:00-03:00
235,2023-08-24,2023-08-24 18:02:00-03:00,2023-08-24 17:36:00-03:00,2023-08-24 18:13:00-03:00,2023-08-24 18:03:00-03:00,2023-08-24 19:35:00-03:00
236,2023-08-25,2023-08-25 18:02:00-03:00,2023-08-25 17:36:00-03:00,2023-08-25 18:13:00-03:00,2023-08-25 18:04:00-03:00,2023-08-25 19:33:00-03:00
237,2023-08-26,2023-08-26 18:02:00-03:00,2023-08-26 17:36:00-03:00,2023-08-26 18:14:00-03:00,2023-08-26 18:04:00-03:00,2023-08-26 19:31:00-03:00
238,2023-08-27,2023-08-27 18:03:00-03:00,2023-08-27 17:36:00-03:00,2023-08-27 18:14:00-03:00,2023-08-27 18:04:00-03:00,2023-08-27 19:28:00-03:00
239,2023-08-28,2023-08-28 18:03:00-03:00,2023-08-28 17:35:00-03:00,2023-08-28 18:15:00-03:00,2023-08-28 18:04:00-03:00,2023-08-28 19:26:00-03:00
240,2023-08-29,2023-08-29 18:03:00-03:00,2023-08-29 17:35:00-03:00,2023-08-29 18:15:00-03:00,2023-08-29 18:04:00-03:00,2023-08-29 19:24:00-03:00
241,2023-08-30,2023-08-30 18:04:00-03:00,2023-08-30 17:35:00-03:00,2023-08-30 18:16:00-03:00,2023-08-30 18:04:00-03:00,2023-08-30 19:22:00-03:00
242,2023-08-31,2023-08-31 18:04:00-03:00,2023-08-31 17:35:00-03:00,2023-08-31 18:16:00-03:00,2023-08-31 18:04:00-03:00,2023-08-31 19:20:00-03:00
243,2023-09-01,2023-09-01 18:05:00-03:00,2023-09-01 17:34:00-03:00,2023-09-01 18:17:00-03:00,2023-09-01 18:04:00-03:00,2023-09-01 19:18:00-03:00
244,2023-09-02,2023-09-02 18:05:00-03:00,2023-09-02 17:34:00-03:00,2023-09-02 18:17:00-03:00,2023-09-02 18:04:00-03:00,2023-09-02 19:15:00-03:00
245,2023-09-03,2023-09-03 18:05:00-03:00,2023-09-03 17:34:00-03:00,2023-09-03 18:18:00-03:00,2023-09-03 18:04:00-03:00,2023-09-03 19:13:00-03:00
246,2023-09-04,2023-09-04 18:06:00-03:00,2023-09-04 17:34:00-03:00,2023-09-04 18:18:00-03:00,2023-09-04 18:05:00-03:00,2023-09-04 19:11:00-03:00
247,2023-09-05,2023-09-05 18:06:00-03:00,2023-09-05 17:34:00-03:00,2023-09-05 18:18:00-03:00,2023-09-05 18:05:00-03:00,2023-09-05 19:09:00-03:00
248,2023-09-06,2023-09-06 18:07:00-03:00,2023-09-06 17:33:00-03:00,2023-09-06 18:19:00-03:00,2023-09-06 18:05:00-03:00,2023-09-06 19:06:00-03:00
249,2023-09-07,2023-09-07 18:07:00-03:00,2023-09-07 17:33:00-03:00,2023-09-07 18:19:00-03:00,2023-09-07 18:05:00-03:00,2023-09-07 19:04:00-03:00
250,2023-09-08,2023-09-08 18:07:00-03:00,2023-09-08 17:33:00-03:00,2023-09-08 18:20:00-03:00,2023-09-08 18:05:00-03:00,2023-09-08 19:02:00-03:00
251,2023-09-09,2023-09-09 18:08:00-03:00,2023-09-09 17:33:00-03:00,2023-09-09 18:20:00-03:00,2023-09-09 18:05:00-03:00,2023-09-09 19:00:00-03:00
252,2023-09-10,2023-09-10 18:08:00-03:00,2023-09-10 17:32:00-03:00,2023-09-10 18:21:00-03:00,2023-09-10 18:05:00-03:00,2023-09-10 18:57:00-03:00
253,2023-09-11,2023-09-11 18:08:00-03:00,2023-09-11 17:32:00-03:00,2023-09-11 18:21:00-03:00,2023-09-11 18:05:00-03:00,2023-09-11 18:55:00-03:00
254,2023-09-12,2023-09-12 18:09:00-03:00,2023-09-12 17:32:00-03:00,2023-09-12 18:22:00-03:00,2023-09-12 18:05:00-03:00,2023-09-12 18:53:00-03:00
255,2023-09-13,2023-09-13 18:09:00-03:00,2023-09-13 17:31:00-03:00,2023-09-13 18:22:00-03:00,2023-09-13 18:05:00-03:00,2023-09-13 18:50:00-03:00
256,2023-09-14,2023-09-14 18:09:00-03:00,2023-09-14 17:31:00-03:00,2023-09-14 18:22:00-03:00,2023-09-14 18:05:00-03:00,2023-09-14 18:48:00-03:00
257,2023-09-15,2023-09-15 18:10:00-03:00,2023-09-15 17:31:00-03:00,2023-09-15 18:23:00-03:00,2023-09-15 18:05:00-03:00,2023-09-15 18:46:00-03:00
258,2023-09-16,2023-09-16 18:10:00-03:00,2023-09-16 17:31:00-03:00,2023-09-16 18:23:00-03:00,2023-09-16 18:05:00-03:00,2023-09-16 18:44:00-03:00
259,2023-09-17,2023-09-17 18:11:00-03:00,2023-09-17 17:30:00-03:00,2023-09-17 18:24:00-03:00,2023-09-17 18:05:00-03:00,2023-09-17 18:41:00-03:00
260,2023-09-18,2023-09-18 18:11:00-03:00,2023-09-18 17:30:00-03:00,2023-09-18 18:24:00-03:00,2023-09-18 18:06:00-03:00,2023-09-18 18:39:00-03:00
261,2023-09-19,2023-09-19 18:11:00-03:00,2023-09-19 17:30:00-03:00,2023-09-19 18:25:00-03:00,2023-09-19 18:06:00-03:00,2023-09-19 18:37:00-03:00
262,2023-09-20,2023-09-20 18:12:00-03:00,2023-09-20 17:30:00-03:00,2023-09-20 18:25:00-03:00,2023-09-20 18:06:00-03:00,2023-09-20 18:34:00-03:00
263,2023-09-21,2023-09-21 18:12:00-03:00,2023-09-21 17:29:00-03:00,2023-09-21 18:26:00-03:00,2023-09-21 18:06:00-03:00,2023-09-21 18:32:00-03:00
264,2023-09-22,2023-09-22 18:13:00-03:00,2023-09-22 17:29:00-03:00,2023-09-22 18:26:00-03:00,2023-09-22 18:06:00-03:00,2023-09-22 18:30:00-03:00
265,2023-09-23,2023-09-23 18:13:00-03:00,2023-09-23 17:29:00-03:00,2023-09-23 18:27:00-03:00,2023-09-23 18:06:00-03:00,2023-09-23 18:28:00-03:00
266,2023-09-24,2023-09-24 18:13:00-03:00,2023-09-24 17:29:00-03:00,2023-09-24 18:27:00-03:00,2023-09-24 18:06:00-03:00,2023-09-24 18:25:00-03:00
267,2023-09-25,2023-09-25 18:14:00-03:00,2023-09-25 17:28:00-03:00,2023-09-25 18:27:00-03:00,2023-09-25 18:06:00-03:00,2023-09-25 18:23:00-03:00
268,2023-09-26,2023-09-26 18:14:00-03:00,2023-09-26 17:28:00-03:00,2023-09-26 18:28:00-03:00,2023-09-26 18:06:00-03:00,2023-09-26 18:21:00-03:00
269,2023-09-27,2023-09-27 18:14:00-03:00,2023-09-27 17:28:00-03:00,2023-09-27 18:28:00-03:00,2023-09-27 18:06:00-03:00,2023-09-27 18:18:00-03:00
270,2023-09-28,2023-09-28 18:15:00-03:00,2023-09-28 17:28:00-03:00,2023-09-28 18:29:00-03:00,2023-09-28 18:06:00-03:00,2023-09-28 18:16:00-03:00
271,2023-09-29,2023-09-29 18:15:00-03:00,2023-09-29 17:27:00-03:00,2023-09-29 18:29:00-03:00,2023-09-29 18:07:00-03:00,2023-09-29 18:14:00-03:00
272,2023-09-30,2023-09-30 18:16:00-03:00,2023-09-30 17:27:00-03:00,2023-09-30 18:30:00-03:00,2023-09-30 18:07:00-03:00,2023-09-30 18:12:00-03:00
273,2023-10-01,2023-10-01 18:16:00-03:00,2023-10-01 17:27:00-03:00,2023-10-01 18:30:00-03:00,2023-10-01 18:07:00-03:00,2023-10-01 18:09:00-03:00
274,2023-10-02,2023-10-02 18:17:00-03:00,2023-10-02 17:27:00-03:00,2023-10-02 18:31:00-03:00,2023-10-02 18:07:00-03:00,2023-10-02 18:07:00-03:00
275,2023-10-03,2023-10-03 18:17:00-03:00,2023-10-03 17:26:00-03:00,2023-10-03 18:31:00-03:00,2023-10-03 18:07:00-03:00,2023-10-03 18:05:00-03:00
276,2023-10-04,2023-10-04 18:17:00-03:00,2023-10-04 17:26:00-03:00,2023-10-04 18:32:00-03:00,2023-10-04 18:07:00-03:00,2023-10-04 18:03:00-03:00
277,2023-10-05,2023-10-05 18:18:00-03:00,2023-10-05 17:26:00-03:00,2023-10-05 18:32:00-03:00,2023-10-05 18:07:00-03:00,2023-10-05 18:00:00-03:00
278,2023-10-06,2023-10-06 18:18:00-03:00,2023-10-06 17:26:00-03:00,2023-10-06 18:33:00-03:00,2023-10-06 18:07:00-03:00,2023-10-06 17:58:00-03:00
279,2023-10-07,2023-10-07 18:19:00-03:00,2023-10-07 17:26:00-03:00,2023-10-07 18:33:00-03:00,2023-10-07 18:07:00-03:00,2023-10-07 17:56:00-03:00
280,2023-10-08,2023-10-08 18:19:00-03:00,2023-10-08 17:25:00-03:00,2023-10-08 18:34:00-03:00,2023-10-08 18:08:00-03:00,2023-10-08 17:54:00-03:00
281,2023-10-09,2023-10-09 18:20:00-03:00,2023-10-09 17:25:00-03:00,2023-10-09 18:35:00-03:00,2023-10-09 18:08:00-03:00,2023-10-09 17:51:00-03:00
282,2023-10-10,2023-10-10 18:20:00-03:00,2023-10-10 17:25:00-03:00,2023-10-10 18:35:00-03:00,2023-10-10 18:08:00-03:00,2023-10-10 17:49:00-03:00
283,2023-10-11,2023-10-11 18:21:00-03:00,2023-10-11 17:25:00-03:00,2023-10-11 18:36:00-03:00,2023-10-11 18:08:00-03:00,2023-10-11 17:47:00-03:00
284,2023-10-12,2023-10-12 18:21:00-03:00,2023-10-12 17:25:00-03:00,2023-10-12 18:36:00-03:00,2023-10-12 18:08:00-03:00,2023-10-12 17:45:00-03:00
285,2023-10-13,2023-10-13 18:21:00-03:00,2023-10-13 17:25:00-03:00,2023-10-13 18:37:00-03:00,2023-10-13 18:08:00-03:00,2023-10-13 17:43:00-03:00
286,2023-10-14,2023-10-14 18:22:00-03:00,2023-10-14 17:25:00-03:00,2023-10-14 18:37:00-03:00,2023-10-14 18:09:00-03:00,2023-10-14 17:41:00-03:00
287,2023-10-15,2023-10-15 18:22:00-03:00,2023-10-15 17:24:00-03:00,2023-10-15 18:38:00-03:00,2023-10-15 18:09:00-03:00,2023-10-15 17:38:00-03:00
288,2023-10-16,2023-10-16 18:23:00-03:00,2023-10-16 17:24:00-03:00,2023-10-16 18:38:00-03:00,2023-10-16 18:09:00-03:00,2023-10-16 17:36:00-03:00
289,2023-10-17,2023-10-17 18:23:00-03:00,2023-10-17 17:24:00-03:00,2023-10-17 18:39:00-03:00,2023-10-17 18:09:00-03:00,2023-10-17 17:34:00-03:00
290,2023-10-18,2023-10-18 18:24:00-03:00,2023-10-18 17:24:00-03:00,2023-10-18 18:40:00-03:00,2023-10-18 18:10:00-03:00,2023-10-18 17:32:00-03:00
291,2023-10-19,2023-10-19 18:25:00-03:00,2023-10-19 17:24:00-03:00,2023-10-19 18:40:00-03:00,2023-10-19 18:10:00-03:00,2023-10-19 17:30:00-03:00
292,2023-10-20,2023-10-20 18:25:00-03:00,2023-10-20 17:24:00-03:00,2023-10-20 18:41:00-03:00,2023-10-20 18:10:00-03:00,2023-10-20 17:28:00-03:00
293,2023-10-21,2023-10-21 18:26:00-03:00,2023-10-21 17:24:00-03:00,2023-10-21 18:41:00-03:00,2023-10-21 18:10:00-03:00,2023-10-21 17:26:00-03:00
