,dias,Curitiba - PR,Fortaleza - CE,Sarandi - RS,Brasília - DF,Bochum - GE
33,2023-02-03,2023-02-03 19:06:00-03:00,2023-02-03 17:55:00-03:00,2023-02-03 19:23:00-03:00,2023-02-03 18:46:00-03:00,2023-02-03 17:24:00-03:00
34,2023-02-04,2023-02-04 19:06:00-03:00,2023-02-04 17:55:00-03:00,2023-02-04 19:23:00-03:00,2023-02-04 18:46:00-03:00,2023-02-04 17:26:00-03:00
35,2023-02-05,2023-02-05 19:05:00-03:00,2023-02-05 17:55:00-03:00,2023-02-05 19:22:00-03:00,2023-02-05 18:46:00-03:00,2023-02-05 17:27:00-03:00
36,2023-02-06,2023-02-06 19:05:00-03:00,2023-02-06 17:55:00-03:00,2023-02-06 19:21:00-03:00,2023-02-06 18:45:00-03:00,2023-02-06 17:29:00-03:00
37,2023-02-07,2023-02-07 19:04:00-03:00,2023-02-07 17:55:00-03:00,2023-02-07 19:21:00-03:00,2023-02-07 18:45:00-03:00,2023-02-07 17:31:00-03:00
38,2023-02-08,2023-02-08 19:03:00-03:00,2023-02-08 17:55:00-03:00,2023-02-08 19:20:00-03:00,2023-02-08 18:45:00-03:00,2023-02-08 17:33:00-03:00
39,2023-02-09,2023-02-09 19:03:00-03:00,2023-02-09 17:54:00-03:00,2023-02-09 19:19:00-03:00,2023-02-09 18:44:00-03:00,2023-02-09 17:35:00-03:00
40,2023-02-10,2023-02-10 19:02:00-03:00,2023-02-10 17:54:00-03:00,2023-02-10 19:19:00-03:00,2023-02-10 18:44:00-03:00,2023-02-10 17:36:00-03:00
41,2023-02-11,2023-02-11 19:01:00-03:00,2023-02-11 17:54:00-03:00,2023-02-11 19:18:00-03:00,2023-02-11 18:44:00-03:00,2023-02-11 17:38:00-03:00
42,2023-02-12,2023-02-12 19:01:00-03:00,2023-02-12 17:54:00-03:00,2023-02-12 19:17:00-03:00,2023-02-12 18:43:00-03:00,2023-02-12 17:40:00-03:00
43,2023-02-13,2023-02-13 19:00:00-03:00,2023-02-13 17:54:00-03:00,2023-02-13 19:16:00-03:00,2023-02-13 18:43:00-03:00,2023-02-13 17:42:00-03:00
44,2023-02-14,2023-02-14 18:59:00-03:00,2023-02-14 17:54:00-03:00,2023-02-14 19:16:00-03:00,2023-02-14 18:42:00-03:00,2023-02-14 17:44:00-03:00
45,2023-02-15,2023-02-15 18:59:00-03:00,2023-02-15 17:54:00-03:00,2023-02-15 19:15:00-03:00,2023-02-15 18:42:00-03:00,2023-02-15 17:46:00-03:00
46,2023-02-16,2023-02-16 18:58:00-03:00,2023-02-16 17:54:00-03:00,2023-02-16 19:14:00-03:00,2023-02-16 18:41:00-03:00,2023-02-16 17:47:00-03:00
47,2023-02-17,2023-02-17 18:57:00-03:00,2023-02-17 17:54:00-03:00,2023-02-17 19:13:00-03:00,2023-02-17 18:41:00-03:00,2023-02-17 17:49:00-03:00
48,2023-02-18,2023-02-18 18:56:00-03:00,2023-02-18 17:53:00-03:00,2023-02-18 19:12:00-03:00,2023-02-18 18:40:00-03:00,2023-02-18 17:51:00-03:00
49,2023-02-19,2023-02-19 18:55:00-03:00,2023-02-19 17:53:00-03:00,2023-02-19 19:11:00-03:00,2023-02-19 18:40:00-03:00,2023-02-19 17:53:00-03:00
50,2023-02-20,2023-02-20 18:55:00-03:00,2023-02-20 17:53:00-03:00,2023-02-20 19:11:00-03:00,2023-02-20 18:39:00-03:00,2023-02-20 17:55:00-03:00
51,2023-02-21,2023-02-21 18:54:00-03:00,2023-02-21 17:53:00-03:00,2023-02-21 19:10:00-03:00,2023-02-21 18:39:00-03:00,2023-02-21 17:56:00-03:00
52,2023-02-22,2023-02-22 18:53:00-03:00,2023-02-22 17:53:00-03:00,2023-02-22 19:09:00-03:00,2023-02-22 18:38:00-03:00,2023-02-22 17:58:00-03:00
53,2023-02-23,2023-02-23 18:52:00-03:00,2023-02-23 17:52:00-03:00,2023-02-23 19:08:00-03:00,2023-02-23 18:38:00-03:00,2023-02-23 18:00:00-03:00
54,2023-02-24,2023-02-24 18:51:00-03:00,2023-02-24 17:52:00-03:00,2023-02-24 19:07:00-03:00,2023-02-24 18:37:00-03:00,2023-02-24 18:02:00-03:00
55,2023-02-25,2023-02-25 18:50:00-03:00,2023-02-25 17:52:00-03:00,2023-02-25 19:06:00-03:00,2023-02-25 18:37:00-03:00,2023-02-25 18:03:00-03:00
56,2023-02-26,2023-02-26 18:50:00-03:00,2023-02-26 17:52:00-03:00,2023-02-26 19:05:00-03:00,2023-02-26 18:36:00-03:00,2023-02-26 18:05:00-03:00
57,2023-02-27,2023-02-27 18:49:00-03:00,2023-02-27 17:51:00-03:00,2023-02-27 19:04:00-03:00,2023-02-27 18:35:00-03:00,2023-02-27 18:07:00-03:00
58,2023-02-28,2023-02-28 18:48:00-03:00,2023-02-28 17:51:00-03:00,2023-02-28 19:03:00-03:00,2023-02-28 18:35:00-03:00,2023-02-28 18:09:00-03:00
